Date,Active Energy (kcal),Apple Exercise Time (min),Apple Stand Hour (hours),Apple Stand Time (min),Cardio Recovery (count/min),Heart Rate [Min] (bpm),Heart Rate [Max] (bpm),Heart Rate [Avg] (bpm),Heart Rate Variability (ms),Respiratory Rate (count/min),Sleep Analysis [Total] (hr),Sleep Analysis [Asleep] (hr),Sleep Analysis [Core] (hr),Sleep Analysis [Deep] (hr),Sleep Analysis [REM] (hr),Sleep Analysis [Awake] (hr),VO2 Max (ml/(kg·min)),N - Apple Exercise Time (min),N - Active Energy (kcal),N - VO2 Max (ml/(kg·min)),N - Heart Rate Variability (ms),N - Apple Stand Time (min),N - Sleep Analysis [Total] (hr),N - Sleep Analysis [Core] (hr),N - Sleep Analysis [Deep] (hr),N - Sleep Analysis [REM] (hr),N - Heart Rate [Min] (bpm),N - Respiratory Rate (count/min),Health Score
2025-05-03,2656.0,154.0,20.0,386.0,,48.0,183.0,115.57,54.18,14.98,5.916666666666667,0.0,3.9583333333333335,0.7999999999999999,1.1583333333333332,0.1916666666666666,43.23,1.0,1.0,0.23181108878822348,0.28977462310795643,1.0,0.0,0.4219391060246169,0.17543859649122803,0.09862048723216905,0.6792159906850376,1.0,0.4744516525511567
2025-05-04,481.31,7.0,17.0,83.0,,42.0,118.0,68.44,82.35,16.92,7.125,0.0,4.141666666666667,0.9416666666666668,2.041666666666667,0.05,48.01897844875076,0.0,0.13171968969493866,0.961895625748095,1.0,0.11064425770308126,0.4290585618977023,0.5169509825091773,0.3742690058479536,0.7208687995303793,1.0,0.3244126659856987,0.6431935848644547
2025-05-05,543.79,12.0,16.0,96.0,,48.0,116.0,69.68,69.25,17.06,5.933333333333334,0.0,3.1583333333333337,0.9833333333333332,1.7916666666666667,0.0916666666666666,45.80829793878858,0.01453488372093023,0.194184604418033,0.6248751789546937,0.7468984135650804,0.17133520074696548,0.005040770941437948,0.007341826819261952,0.43274853801169594,0.5447607866157914,0.6792159906850376,0.2672114402451483,0.44837037302067084
2025-05-06,594.23,10.0,13.0,117.0,,48.0,109.0,66.98,60.48,16.72,7.525,0.0,5.041666666666668,0.8833333333333333,1.6,0.1833333333333333,44.84137955040197,0.0,0.24461242609909709,0.4774675070643826,0.4808748142081475,0.26937441643324,0.571386212008896,0.9833729216152023,0.29239766081871355,0.40974464338127414,0.6792159906850376,0.40612870275791646,0.4743944997113555
2025-05-07,545.7,17.0,10.0,121.0,,48.0,162.0,72.43,90.13,16.05,7.491666666666665,0.0,4.7749999999999995,0.8999999999999999,1.8166666666666669,0.2083333333333333,44.712832932970954,0.08720930232558138,0.1960941432644017,0.4578704471341254,1.0,0.28804855275443514,0.5595255744996294,0.8451738285467497,0.31578947368421056,0.5623715879072503,0.6792159906850376,0.6798774259448414,0.5325331202904803
2025-05-08,396.74,9.0,6.0,106.0,,55.0,114.0,75.79,53.89,16.26571870559901,7.07720125786163,,4.225157232704397,0.9709119496855347,1.7668238993710645,0.10066556367454815,44.0670871030237,0.0,0.04717010841881683,0.359425851841827,0.2809779476446143,0.21802054154995335,0.41205085528063967,0.560219684407375,0.4153150171025051,0.5272607450808794,0.0,0.5917390375489233,0.31579729760176056
2025-05-09,286.98,3.0,8.0,45.0,,51.0,119.0,64.41,64.95,15.72,5.958333333333334,0.0,4.2250000000000005,0.8,0.9333333333333332,0.1833333333333333,42.59519856133516,0.0,0.0,0.13503497685354263,0.6164649497982833,0.0,0.013936249073387677,0.5601381990930687,0.1754385964912282,0.0,0.3881234232485929,0.8147088866189989,0.2485107054074529
2025-05-10,802.52,21.0,20.0,256.0,,49.0,138.0,77.62,54.63,16.12,4.991666666666666,0.0,2.208333333333333,1.4,1.3833333333333333,0.0583333333333333,49.74518784830653,0.1453488372093023,0.4528521362091055,1.0,0.30342463675797016,0.9183006535947712,0.0,0.0,1.0,0.25711769885529806,0.5821851348728894,0.6512768130745654,0.6106794408134485
2025-05-11,490.01,11.0,14.0,142.0,,50.0,129.0,73.86,59.57,16.26,6.766666666666666,0.0,3.2166666666666663,1.5083333333333335,2.0416666666666665,0.0166666666666666,47.40521501187184,0.0,0.14041758915221972,0.86832677815106,0.4532714532714533,0.38608776844070963,0.301556708673091,0.037572878427985415,1.0,0.720868799530379,0.4851542790607411,0.5940755873340136,0.5568392417283899
2025-05-12,487.81,21.0,11.0,161.0,,55.0,122.0,81.62,45.75,16.83407092947259,7.077201257861623,,4.225157232704389,0.9709119496855363,1.7668238993710628,0.1556214844805217,45.140687482193826,0.1453488372093023,0.13821812032394176,0.52309729954083,0.03406436739770066,0.4747899159663866,0.4120508552806371,0.5602196844073709,0.41531501710250734,0.5272607450808781,0.0,0.35952158142080126,0.3469085992020038
